Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year
8679996,Python 3 Object Oriented Programming,Dusty Phillips,"Phillips, Dusty",,1849511268,9781849511261,0,4.02,Packt Publishing,Capa comum,388.0,2010.0,2010.0
22514127,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Al Sweigart,"Sweigart, Al",,1593275994,9781593275990,5,4.29,No Starch Press,Paperback,479.0,2015.0,2014.0
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,"James, Gareth","Trevor Hastie, Robert Tibshirani, Daniela Witten",1461471370,9781461471370,0,4.61,Springer,Hardcover,426.0,2017.0,2013.0
40363665,"Hands-On Machine Learning with Scikit-Learn, Keras, and Tensorflow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"Géron, Aurélien",,1492032646,,0,4.57,O'Reilly Media,Paperback,856.0,2019.0,2017.0
43606157,"Cytonic (Skyward, #3)",Brandon Sanderson,"Sanderson, Brandon",,1473217938,9781473217935,0,4.34,Gollancz,Hardcover,409.0,2021.0,2021.0
58465495,"Evershore (Skyward, #3.1)",Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,,9780593566633,0,4.42,Delacorte Press,ebook,,2021.0,2021.0
44492285,"Dune Messiah (Dune Chronicles, #2)",Frank Herbert,"Herbert, Frank",,0593098234,9780593098233,0,3.89,Ace Books,Paperback,337.0,2019.0,1969.0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,059309932X,9780593099322,5,4.24,Ace Books,Hardcover,688.0,2019.0,1965.0
57903879,ReDawn (Skyward #2.2),Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,,9780593566626,5,4.33,Delacorte Press,ebook,229.0,2021.0,2021.0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,030788743X,9780307887436,0,4.24,Crown Publishers,Hardcover,374.0,2011.0,2011.0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,1841499889,9781841499888,0,4.25,Orbit,Paperback,561.0,2011.0,2011.0
46787,Uncle Tom's Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",Đỗ Đức Hiểu,,,5,3.88,Wordsworth Classics,Paperback,438.0,1999.0,1852.0
57903876,Sunreach (Skyward #2.1),Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,,9780593566619,5,4.25,Delacorte Press,ebook,208.0,2021.0,2021.0
57094644,Daughter of the Deep,Rick Riordan,"Riordan, Rick",,1368077927,9781368077927,0,4.36,Disney-Hyperion,Hardcover,352.0,2021.0,2021.0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,0812511816,9780812511819,5,4.17,Tor Books,Mass Market Paperback,814.0,1990.0,1990.0
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,,,5,4.5,Tor Books,Kindle Edition,1025.0,2013.0,2013.0
44492286,"Children of Dune (Dune Chronicles, #3)",Frank Herbert,"Herbert, Frank",,0593098242,9780593098240,0,3.95,Ace Books,Paperback,609.0,2019.0,1976.0
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,0393355640,9780393355642,5,4.11,W. W. Norton  Company,Paperback,288.0,2018.0,1988.0
768889,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",George R.R. Martin,"Martin, George R.R.",,0006479901,9780006479901,5,4.42,HarperVoyager,Paperback,663.0,2001.0,2000.0
147915,"A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire, #3, Part 2 of 2)",George R.R. Martin,"Martin, George R.R.",,0007119550,9780007119554,5,4.5,HarperVoyager ,Paperback,639.0,2011.0,2000.0
35959740,Circe,Madeline Miller,"Miller, Madeline",,0316556343,9780316556347,5,4.26,"Little, Brown and Company",Hardcover,393.0,2018.0,2018.0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon L. Lechter,0751532711,9780751532715,5,4.1,Time Warner Books UK,Paperback,195.0,2007.0,1997.0
150131,The First Three Minutes: A Modern View of the Origin of the Universe,Steven Weinberg,"Weinberg, Steven",,0465024378,9780465024377,0,4.09,Basic Books,Paperback,203.0,1993.0,1977.0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, Robert Heindel, Sőtér István",,,0,3.87,Norton,Paperback,464.0,2002.0,1847.0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,0062060627,9780062060624,0,4.41,Ecco,Paperback,378.0,2012.0,2011.0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,,,5,4.38,Alfred A. Knopf,Hardcover,552.0,2006.0,2005.0
1772432,कायाकल्प,Munshi Premchand,"Premchand, Munshi",,,,4,3.92,,,,2007.0,2007.0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,,,5,4.3,Orbit,Paperback,416.0,2017.0,2017.0
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,125009531X,9781250095312,0,4.23,Flatiron Books,Hardcover,451.0,2018.0,2018.0
40381392,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,1250157668,9781250157669,0,4.2,Flatiron Books,Hardcover,478.0,2019.0,2019.0
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,1250095255,9781250095251,0,3.97,Flatiron Books,Hardcover,407.0,2017.0,2017.0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,,,5,4.27,Orbit,Paperback,410.0,2016.0,2016.0
817589,Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,Peter Lynch,"Lynch, Peter",John Rothchild,0684811634,9780684811635,5,4.04,Simon  Schuster,Paperback,272.0,1996.0,1995.0
17999205,Computing with Quantum Cats: From Colossus to Qubits,John Gribbin,"Gribbin, John",,0593071158,9780593071151,5,3.74,Bantam Press,Paperback,304.0,2013.0,2013.0
23264672,"Darkdawn (The Nevernight Chronicle, #3)",Jay Kristoff,"Kristoff, Jay",,,,0,4.31,Thomas Dunne Books,Kindle Edition,491.0,2019.0,2019.0
23264671,"Godsgrave (The Nevernight Chronicle, #2)",Jay Kristoff,"Kristoff, Jay",,1250073030,9781250073037,0,4.49,St. Martin's Press,Hardcover,419.0,2017.0,2017.0
26114463,"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,"Kristoff, Jay",,1250073022,9781250073020,0,4.2,St. Martin's Press,Hardcover,429.0,2016.0,2016.0
33208134,प्रेमाश्रम [Premashram],Munshi Premchand,"Premchand, Munshi",,,,4,4.21,Public Domain Books,Kindle Edition,722.0,,1956.0
41820,Pebble in the Sky (Galactic Empire #3),Isaac Asimov,"Asimov, Isaac",,0553293427,9780553293425,0,3.89,Bantam,Paperback,308.0,1991.0,1950.0
