Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year
509784,The End of Eternity,Isaac Asimov,"Asimov, Isaac",,0449016196,9780449016190,0,4.23,Fawcett Crest,Mass Market Paperback,192.0,1971.0,1955.0
41821,The Gods Themselves,Isaac Asimov,"Asimov, Isaac",,1857989341,9781857989342,0,4.09,Millenium,Paperback,288.0,2000.0,1972.0
33208623,चन्द्रगुप्त,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,,,5,4.07,Public Domain Books,Kindle Edition,226.0,,1994.0
13121708,कामायनी,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,8126700386,9788171783212,5,4.27,Rajkamal Prakashan,Paperback,159.0,1994.0,1936.0
38893804,ध्रुवस्वामिनी,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,,,5,4.02,Public Domain Books,Kindle Edition,81.0,,
17977451,स्कंदगुप्त,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,,9788179873533,5,4.1,,Paperback,120.0,,1964.0
16028766,अजातशत्रु,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,8171831044,,4,3.72,Bishanchand & Sons,Hardcover,,2011.0,2011.0
33220017,इंद्रजाल,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,,,5,3.97,Public Domain Books,Kindle Edition,155.0,,
694226,गोदान [Godaan],Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,8172242190,9788172242190,5,4.37,Jaico Publishing House,Paperback,352.0,2002.0,1936.0
694207,Nirmala,Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,0195658264,9780195658262,5,4.13,"Oxford University Press, USA",Paperback,218.0,2001.0,1899.0
11692391,Gaban,Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,8122311962,9788122311969,5,4.3,Cedar Books,Paperback,272.0,2011.0,1931.0
17415301,वरदान,Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,8181332997,9788181332998,4,3.78,Manoj Publications,Paperback,128.0,2004.0,1899.0
15729142,रंगभूमि,Munshi Premchand,"Premchand, Munshi",,,,5,4.24,,,,,1925.0
29904088,प्रतिज्ञा : Pledge,Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,,,3,4.02,Palm Leaf Press,Kindle Edition,97.0,2016.0,1927.0
28595941,Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,"Sanderson, Brandon",,0765391163,9780765391162,5,4.5,Tor Books,Hardcover,672.0,2016.0,2016.0
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,0446675539,9780446675536,0,4.3,Warner Books,Mass Market Paperback,1037.0,1999.0,1936.0
5344,Hard Times,Charles Dickens,"Dickens, Charles",,0321107217,9780321107213,4,3.54,Pearson Longman,Paperback,353.0,2003.0,1854.0
22841994,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,1408855658,9781408855652,5,4.47,Bloomsbury,Paperback,332.0,2014.0,1997.0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,,,5,4.27,Orbit,Paperback,468.0,2015.0,2015.0
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,,,5,4.2,Del Rey,Paperback,250.0,2005.0,1980.0
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,"Aveyard, Victoria",,,,3,3.71,Orion Publishing,Kindle Edition,576.0,2021.0,2021.0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,,,5,4.09,"Little, Brown Books for Young Readers",Hardcover,370.0,2018.0,2018.0
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,5,4.22,Del Rey,Paperback,193.0,2007.0,1979.0
31520883,"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,"Tahir, Sabaa",,000828881X,9780008288815,4,4.36,Razorbill,Paperback,516.0,2021.0,2020.0
569429,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,"Adams, Douglas",,0345379330,9780345379337,0,3.95,Del Rey,Paperback,288.0,1993.0,1992.0
6091075,"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,,,0,4.09,Del Rey,Kindle Edition,225.0,2008.0,1984.0
8694,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,0345418905,9780345418906,0,4.18,Del Rey,Paperback,224.0,2005.0,1982.0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,,,4,3.93,Scribner,Paperback,200.0,2004.0,1925.0
30809786,"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,"Tahir, Sabaa",,0448494507,9780448494500,5,4.21,Razorbill,Hardcover,458.0,2018.0,2018.0
20821111,"The Young Elites (The Young Elites, #1)",Marie Lu,"Lu, Marie",,0399167838,9780399167836,0,3.87,G.P. Putnam’s Sons Books for Young Readers,Hardcover,355.0,2014.0,2014.0
11196914,"Gardens of the Moon (The Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,,,0,3.89,Transworld Digital,Kindle Edition,772.0,2009.0,1999.0
27774758,"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,"Tahir, Sabaa",,,,4,4.25,Razorbill,Paperback,446.0,2016.0,2015.0
25591568,"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,"Tahir, Sabaa",,,,3,4.23,Razorbill,Kindle Edition,467.0,2016.0,2016.0
30169100,"The Burning White (Lightbringer, #5)",Brent Weeks,"Weeks, Brent",,0316251305,9780316251303,5,4.28,Orbit,Hardcover,992.0,2019.0,2019.0
25608737,Concepts of Physics (Part 1),H.C. Verma,"Verma, H.C.",,,,5,4.34,Bhart Bhawan,Paperback,456.0,2013.0,1999.0
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,0756404738,9780756404734,5,4.53,DAW Books,Hardcover,994.0,2011.0,2011.0
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,0316310336,9780316310338,5,4.33,"Little, Brown Books for Young Readers",ebook,336.0,2019.0,2019.0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765316889,9780765316882,5,4.35,Tor Books,Hardcover,590.0,2007.0,2007.0
2715644,The Universe: A Biography,John Gribbin,"Gribbin, John",,0141021470,9780141021478,4,3.89,Penguin Books,Paperback,242.0,2008.0,2007.0
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.","Peter S. Beagle, Дж.Р.Р. Толкін, Аліна Немірова, П. Риженко",0618346260,9780618346264,5,4.45,Houghton Mifflin,Paperback,322.0,2003.0,1954.0
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",Cẩm Chi,0141382899,9780141382890,5,4.34,Puffin Books,Paperback,320.0,2007.0,2007.0
12974095,"The Throne of Fire (Kane Chronicles, #2)",Rick Riordan,"Riordan, Rick",,1423142012,9781423142010,5,4.16,Disney-Hyperion Books,Paperback,452.0,2012.0,2011.0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,0141439602,9780141439600,0,3.86,Penguin Books,Paperback,489.0,2003.0,1859.0
17364,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,"Feynman, Richard P.",,009917331X,9780099173311,5,4.24,Vintage,Paperback,350.0,2006.0,1985.0
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,1473217903,9781473217904,5,4.42,Orion Publishing Co,Paperback,461.0,2019.0,2019.0
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,1473217857,9781473217850,5,4.5,Gollancz,Hardcover,513.0,2018.0,2018.0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,1627792120,9781627792127,5,4.47,Henry Holt & Company,Hardcover,465.0,2015.0,2015.0
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,0786856866,9780786856862,5,4.24,Hyperion Books,Hardcover,279.0,2006.0,2006.0
7090447,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,"Riordan, Rick",,1423113381,9781423113386,0,4.08,Disney-Hyperion,Hardcover,528.0,2010.0,2010.0
18254,Oliver Twist,Charles Dickens,"Dickens, Charles","Philip Horne, Gerald Dickens, 查尔斯·狄更斯, 吴倩卓",,,0,3.87,Penguin Books,Paperback,608.0,2003.0,1838.0
52670,"One, Two, Three...Infinity: Facts and Speculations of Science",George Gamow,"Gamow, George",,0486256642,9780486256641,5,4.2,Dover Publications,Paperback,384.0,1988.0,1947.0
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",Anne Brauner,0316310409,9780316310406,5,4.35,"Little, Brown",ebook,300.0,2019.0,2019.0
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred Mac Adam,1593082649,9781593082642,5,3.84,Barnes & Noble Classics,Paperback,260.0,2005.0,1817.0
2156,Persuasion,Jane Austen,"Austen, Jane","Deidre Shauna Lynch, James Kinsley",0192802631,9780192802637,5,4.14,Oxford University Press,Paperback,249.0,2004.0,1817.0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,,9780765311788,5,4.44,Tor Books,Hardcover,541.0,2006.0,2006.0
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,1423101472,9781423101475,5,4.5,Disney ● Hyperion Books,Hardcover,381.0,2009.0,2009.0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9780756404079,5,4.51,Penguin Group DAW,Hardcover,662.0,2007.0,2007.0
35180922,The Mill on the Floss,George Eliot,"Eliot, George",,8175993839,9788175993839,5,3.81,Prakash Book Depot,Paperback,560.0,2015.0,1860.0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,0142437204,9780142437209,5,4.13,Penguin,Paperback,532.0,2003.0,1847.0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,0765316897,9780765316899,5,4.48,Tor Books,Hardcover,572.0,2008.0,2008.0
19005287,In Search of Schrödinger's Cat: Quantum Physics and Reality,John Gribbin,"Gribbin, John",,,,5,4.05,Transworld Digital,Kindle Edition,400.0,2012.0,1984.0
10852065,"The Hope of Elantris (Elantris, #1.5)",Brandon Sanderson,"Sanderson, Brandon",,,,4,3.7,Brandon Sanderson,,25.0,2006.0,2006.0
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,1423146727,9781423146728,5,4.52,Disney-Hyperion Books,Hardcover,608.0,2013.0,2013.0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,055358202X,9780553582024,5,4.14,Bantam Books,Mass Market Paperback,1061.0,2011.0,2005.0
14699,The Elegant Universe,Brian Greene,"Greene, Brian",,009928992X,9780099289920,4,4.07,Vintage,Paperback,464.0,2000.0,1999.0
6969,Emma,Jane Austen,"Austen, Jane","David M. Shapard, Anna Luisa Zazo, Fiona Stafford",0141439580,9780141439587,5,4.02,Penguin Books,Paperback,474.0,2003.0,1815.0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska",0618346252,9780618346257,5,4.37,Houghton Mifflin Harcourt,Paperback,398.0,2003.0,1954.0
818560,A Brief History Of Time: From the Big Bang To Black Holes,Stephen Hawking,"Hawking, Stephen",Carl Sagan,0553175211,9780553175219,5,4.19,Bantam,Paperback,220.0,1998.0,1988.0
55030,Cosmos,Carl Sagan,"Sagan, Carl",,0375508325,9780375508325,5,4.37,Random House,Mass Market Paperback,365.0,2002.0,1980.0
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,,,5,4.59,Orion Children's Books,Kindle Edition,561.0,2016.0,2016.0
40277241,Brief Answers to the Big Questions,Stephen Hawking,"Hawking, Stephen",,1984819194,9781984819192,4,4.3,Bantam,Hardcover,256.0,2018.0,2018.0
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"Clare, Cassandra",,1416914293,9781416914297,4,4.13,Margaret K. McElderry Books,Hardcover,453.0,2008.0,2008.0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,,,5,4.31,Bantam,Kindle Edition,1125.0,2011.0,2011.0
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"Riordan, Rick",,1484724917,9781423146735,5,4.4,Disney-Hyperion Books,Hardcover,528.0,2014.0,2014.0
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner",0451527747,9780451527745,5,4.06,Penguin Group (USA),Paperback,239.0,2000.0,1871.0
130346,Wuthering Heights by Emily Brontë,Hilda D. Spear,"Spear, Hilda D.",,0333372867,9780333372869,4,4.13,MacMillan,Paperback,96.0,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,0553381695,9780553381696,5,4.4,Bantam,Paperback,969.0,2002.0,1998.0
28006109,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,"Riordan, Rick",,1368001440,9781368001441,5,4.33,Disney-Hyperion,ebook,439.0,2019.0,2019.0
7541858,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,,,4,4.08,Margaret K. McElderry Books,Kindle Edition,485.0,2009.0,2007.0
45032,Mansfield Park,Jane Austen,"Austen, Jane",Kathryn Sutherland,0141439807,9780141439808,5,3.86,Penguin Books,Paperback,488.0,2003.0,1814.0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Charles Green, Mark Oxford, Sam Ngo, F.W. Pailthorpe",0192833596,9780192833594,5,3.78,Oxford University Press,Paperback,544.0,1998.0,1860.0
11133581,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,,,5,4.53,Voyager,Kindle Edition,1218.0,2011.0,2000.0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,,,5,4.27,Disney Hyperion Books,Paperback,377.0,2006.0,2005.0
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis","Antoni Marianowicz, Παυλίνα Παμπούδη",,,5,3.98,Public Domain Books,Kindle Edition,96.0,1997.0,1865.0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,5,4.57,Scholastic Inc.,Paperback,652.0,2006.0,2005.0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,5,4.5,Scholastic Inc.,Paperback,870.0,2004.0,2003.0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,5,4.56,Scholastic,Paperback,734.0,2002.0,2000.0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.61,Arthur A. Levine Books,Hardcover,759.0,2007.0,2007.0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,5,4.57,Scholastic Inc.,Mass Market Paperback,435.0,2004.0,1999.0
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,1420925539,9781420925531,5,4.14,Digireads.com,Paperback,123.0,2005.0,1887.0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.47,Scholastic Inc,Hardcover,309.0,2003.0,1997.0
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"Riordan, Rick",,,,5,4.39,Hyperion Books for Children,Hardcover,361.0,2008.0,2008.0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, ویدا اسلامیه",,,5,4.43,Arthur A. Levine Books,Hardcover,341.0,1999.0,1998.0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,,,5,4.27,Modern Library,Paperback,279.0,2000.0,1813.0
26047438,"Fire Falling (Air Awakens, #2)",Elise Kova,"Kova, Elise",,1619849526,9781619849525,3,4.17,Silver Wing Press,Paperback,378.0,2015.0,2015.0
29467232,"The Blood Mirror (Lightbringer, #4)",Brent Weeks,"Weeks, Brent",,031625133X,9780316251334,4,4.34,Orbit,Hardcover,704.0,2016.0,2015.0
755125,"In Search of the Edge of Time: Black Holes, White Holes, Wormholes",John Gribbin,"Gribbin, John",,0140248145,9780140248142,0,3.93,Penguin Books,Paperback,288.0,1999.0,1992.0
1920128,The Birth of Time: How Astronomers Measure the Age of the Universe,John Gribbin,"Gribbin, John",,0300083467,9780300083460,0,3.88,Yale University Press,Hardcover,237.0,2000.0,1999.0
28943755,Einstein's Masterwork: 1915 and the General Theory of Relativity,John Gribbin,"Gribbin, John",,1681772124,9781681772127,0,4.02,Pegasus Books,Hardcover,240.0,2016.0,2015.0
479476,In Search of the Big Bang,John Gribbin,"Gribbin, John",,0552131466,9780552131469,0,3.96,Corgi,Paperback,432.0,1987.0,1986.0
26196560,13.8: The Quest to Find the True Age of the Universe and the Theory of Everything,John Gribbin,"Gribbin, John",,0300218273,9780300218275,0,4.07,Yale University Press,Hardcover,256.0,2016.0,2015.0
31311948,The Time Illusion (Kindle Single),John Gribbin,"Gribbin, John",,,,0,4.08,,Kindle Edition,35.0,2016.0,
40941,The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,"Gribbin, John",,0812967887,9780812967883,0,4.09,Random House Trade Paperbacks,Paperback,672.0,2004.0,2002.0
587906,Deep Simplicity: Bringing Order to Chaos and Complexity,John Gribbin,"Gribbin, John",,140006256X,9781400062560,0,3.94,Random House,Hardcover,279.0,2005.0,2004.0
6881432,In Search of the Multiverse,John Gribbin,"Gribbin, John",,1846141133,9781846141133,0,4.09,Allen Lane,Hardcover,250.0,2009.0,2009.0
29966062,"Crystal Crowned (Air Awakens, #5)",Elise Kova,"Kova, Elise",,,,0,4.14,Silver Wing Press,Kindle Edition,400.0,2016.0,2016.0
29483403,"Water's Wrath (Air Awakens, #4)",Elise Kova,"Kova, Elise",,1619844257,9781619844254,0,4.11,Silver Wing Press,Paperback,378.0,2016.0,2016.0
26760091,"Earth's End (Air Awakens, #3)",Elise Kova,"Kova, Elise",,1619844222,9781619844223,0,4.14,Silver Wing Press,Hardcover,350.0,2016.0,2016.0
282459,Subtle Is the Lord: The Science and the Life of Albert Einstein,Abraham Pais,"Pais, Abraham",Roger Penrose,0192806726,9780192806727,5,4.31,OUP UK,Paperback,576.0,2005.0,1982.0
3754016,"Shadow's Edge (Night Angel, #2)",Brent Weeks,"Weeks, Brent",,0316033650,9780316033657,0,4.23,Orbit,Mass Market Paperback,636.0,2008.0,2008.0
3754026,"Beyond the Shadows (Night Angel, #3)",Brent Weeks,"Weeks, Brent",,0316033669,9780316033664,0,4.24,Orbit,Mass Market Paperback,689.0,2008.0,2008.0
3227063,"The Way of Shadows (Night Angel, #1)",Brent Weeks,"Weeks, Brent",,0316033677,9780316033671,0,4.13,Orbit,Mass Market Paperback,645.0,2008.0,2008.0
40516976,"Aurora's End (The Aurora Cycle, #3)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,1524720887,9781524720889,0,4.38,Knopf Books For Young Readers,Hardcover,512.0,2021.0,2021.0
40516960,"Aurora Burning (The Aurora Cycle, #2)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,1524720925,9781524720926,0,4.32,Knopf Books For Young Readers,Hardcover,495.0,2020.0,2020.0
