Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
33208140,तितली,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,"=""""","=""""",4,3.95,Public Domain Books,Kindle Edition,300,,1985,,2021/01/01,,,read,,,,1,,,0,,,,,
4808763,The Last Question,Isaac Asimov,"Asimov, Isaac","Bob E. Flick, Jim Gallant","=""1884214495""","=""9781884214493""",5,4.57,Ziggurat Productions,Audio CD,9,2007,1956,,2021/01/01,,,read,,,,1,,,0,,,,,
76688,"Robots and Empire (Robot, #4)",Isaac Asimov,"Asimov, Isaac",,"=""0586062009""","=""9780586062005""",5,4.19,Voyager,Paperback,512,1996,1985,,2021/01/01,,,read,,,,1,,,0,,,,,
41810,"The Robots of Dawn (Robot, #3)",Isaac Asimov,"Asimov, Isaac",,"=""0553299492""","=""9780553299496""",4,4.17,Spectra,Paperback,435,1994,1983,,2021/01/01,,,read,,,,1,,,0,,,,,
30016,"The Naked Sun (Robot, #2)",Isaac Asimov,"Asimov, Isaac",Chris     Moore,"=""""","=""""",5,4.16,HarperCollins Publishers,Mass Market Paperback,208,1996,1958,,2021/01/01,,,read,,,,1,,,0,,,,,
41811,The Caves of Steel (Robot #1),Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",5,4.18,Voyager,Mass Market Paperback,206,1997,1953,,2021/01/01,,,read,,,,1,,,0,,,,,
76679,Forward the Foundation (Foundation: Prequel #2),Isaac Asimov,"Asimov, Isaac",,"=""0553565079""","=""9780553565072""",4,4.15,Bantam/Spectra,Paperback,464,1994,1993,,2021/01/01,,,read,,,,1,,,0,,,,,
30013,Prelude to Foundation,Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",5,4.13,Voyager,Paperback,464,1994,1988,,2021/01/01,,,read,,,,1,,,0,,,,,
29582,Foundation and Earth (Foundation #5),Isaac Asimov,"Asimov, Isaac",,"=""0553587579""","=""9780553587579""",4,4.06,Spectra,Paperback,500,2004,1986,,2021/01/01,,,read,,,,1,,,0,,,,,
76683,Foundation's Edge (Foundation #4),Isaac Asimov,"Asimov, Isaac",,"=""0553293389""","=""9780553293388""",4,4.14,Bantam/Spectra,Paperback,450,2010,1982,,2021/01/01,,,read,,,,1,,,0,,,,,
